mpg,horsepower,weight,displacement,acceleration,model_year,origin,cylinders
25.68,196.5,3224,110.2,12.6,73,japan,4
30.23,107.8,3583,105.3,14.0,79,europe,6
22.14,61.9,3824,206.9,9.7,71,usa,6
28.87,110.7,3155,226.2,16.0,72,japan,6
26.52,111.4,3295,136.6,10.1,73,usa,4
36.79,114.3,2425,202.1,13.5,81,usa,6
29.38,86.6,2956,245.6,8.6,82,japan,8
22.81,137.4,3470,249.5,10.1,76,usa,4
24.16,135.7,3433,324.2,15.0,72,japan,4
34.14,75.2,3106,302.2,11.5,79,europe,4
29.92,141.0,3443,119.9,13.7,76,japan,6
29.12,181.6,3245,334.7,12.5,81,japan,4
28.35,125.2,3600,157.5,11.8,74,japan,6
32.01,109.9,3145,283.6,14.7,82,usa,6
34.3,115.7,2822,205.4,11.5,80,usa,4
22.85,138.5,3168,167.0,8.4,72,usa,8
41.4,68.1,1800,70.0,10.4,79,usa,6
27.28,124.9,3191,186.3,13.1,73,usa,4
47.24,108.3,1800,75.2,12.8,74,europe,4
28.88,175.4,2138,277.4,8.9,73,usa,4
26.33,114.8,3226,321.3,10.6,78,usa,4
26.25,170.0,3239,136.2,10.8,73,usa,4
34.07,86.9,2419,224.2,11.3,78,usa,8
29.83,137.6,2644,142.0,9.2,77,japan,4
30.88,129.6,3685,149.7,10.7,79,japan,4
33.97,93.9,2758,262.0,10.5,82,europe,6
18.56,125.3,4121,196.9,13.5,70,japan,6
30.74,156.4,2999,339.2,13.6,82,usa,8
29.13,110.3,3204,161.4,11.7,71,europe,6
23.05,69.2,3808,279.9,11.2,76,usa,4
33.9,119.5,3066,207.8,12.3,74,usa,4
33.29,92.9,2499,263.7,10.4,78,usa,8
31.95,109.7,2945,164.2,9.7,79,japan,6
32.73,117.6,2982,196.0,10.1,81,usa,8
37.26,68.8,2318,190.8,10.7,75,usa,4
34.32,71.5,2872,133.1,9.7,82,japan,8
28.19,134.5,2629,253.0,12.3,74,usa,6
30.16,104.3,3462,252.0,13.5,72,japan,4
29.99,60.0,3017,247.5,8.8,74,usa,6
27.75,143.5,2859,323.0,12.1,76,usa,6
27.96,128.2,2947,315.9,11.6,78,usa,4
35.32,98.6,3112,170.0,12.7,80,japan,4
25.33,80.5,3308,229.8,12.0,72,usa,8
27.07,145.1,2500,150.1,9.1,73,usa,4
30.91,130.5,2479,201.9,9.5,82,usa,4
25.89,191.5,3552,152.0,12.1,75,europe,4
24.85,132.6,2794,329.6,14.1,73,europe,4
33.74,131.6,2292,229.1,7.6,82,japan,8
26.79,115.0,3222,182.6,12.7,75,usa,6
35.1,144.5,3232,295.5,14.4,82,europe,4
35.1,138.8,2235,70.0,11.7,81,europe,8
32.33,157.6,3115,70.0,13.1,81,japan,8
26.73,104.4,3368,263.7,10.6,77,usa,4
28.64,106.9,3187,204.8,11.8,80,usa,8
31.2,105.6,3316,220.0,8.8,82,usa,4
28.42,143.7,2298,93.9,7.3,73,europe,8
26.94,165.0,3166,198.1,13.9,70,usa,6
24.78,106.2,2849,360.3,10.0,74,usa,6
33.26,107.3,2759,265.9,11.1,78,usa,4
26.79,129.4,3435,213.6,9.2,77,japan,8
24.1,112.6,3740,164.9,9.2,71,usa,4
29.39,148.6,3897,168.4,11.7,77,europe,4
27.11,60.0,3657,70.0,10.5,72,europe,4
29.32,95.2,2945,220.6,12.8,76,japan,6
28.32,96.5,3176,267.6,12.9,77,usa,4
33.81,60.0,3383,74.0,12.6,78,japan,8
33.58,91.1,3061,147.1,12.5,75,japan,6
35.99,92.5,3065,107.4,15.2,75,japan,4
25.5,114.0,3412,122.8,9.9,78,usa,4
32.15,153.4,2970,204.3,11.9,79,usa,4
33.22,112.6,2635,70.0,14.3,80,usa,6
33.72,89.1,2793,249.1,14.5,74,usa,8
32.9,118.3,3317,260.3,9.2,75,usa,4
25.96,151.5,3001,179.9,11.4,74,usa,8
35.26,90.7,3170,70.0,14.7,76,usa,4
26.6,92.7,3335,120.3,13.0,71,japan,8
22.4,136.8,2813,298.6,12.4,75,usa,8
25.92,113.4,3378,70.0,11.6,72,europe,6
25.69,139.4,3189,172.2,11.2,76,japan,6
31.61,119.6,2383,105.6,12.6,81,usa,8
32.06,141.0,3721,264.4,11.5,82,japan,4
34.68,88.9,2750,146.0,11.9,75,usa,4
35.93,119.6,2172,232.3,12.2,70,europe,4
29.44,113.7,2477,245.2,10.6,72,usa,6
32.43,83.5,2489,346.9,13.1,71,europe,6
38.53,73.1,3026,183.8,17.8,79,usa,6
27.42,140.6,2863,230.1,8.4,82,usa,8
35.61,109.5,2832,81.2,12.6,77,usa,4
25.71,89.3,3310,295.2,10.5,72,europe,6
29.4,117.1,3170,139.2,13.2,70,japan,4
27.19,153.8,3158,155.1,12.1,82,usa,4
25.85,60.0,3205,198.2,13.5,74,usa,6
27.7,75.1,3308,75.0,14.4,71,usa,8
38.25,92.3,1946,218.3,12.4,72,japan,6
25.85,163.8,2818,277.4,14.3,73,usa,4
33.97,128.5,1910,223.4,7.3,78,usa,6
35.84,143.0,3018,72.9,15.2,81,europe,4
24.49,85.8,2998,190.1,12.8,73,europe,8
26.33,86.4,3523,259.4,14.2,78,usa,6
26.03,133.4,3594,70.0,9.6,70,japan,4
28.23,121.7,3101,114.0,10.3,70,usa,4
27.52,136.5,2750,270.1,12.3,70,japan,4
28.74,114.4,3243,221.6,12.0,82,usa,8
36.8,128.3,2736,233.0,12.6,77,japan,4
34.02,124.7,2999,348.8,14.2,80,japan,6
20.55,143.3,3493,237.5,8.5,70,europe,6
26.91,144.2,2721,252.6,13.9,70,usa,6
29.68,71.4,3403,416.9,12.0,81,europe,4
27.33,60.0,3339,182.9,11.6,71,usa,8
30.2,150.1,2523,136.2,9.1,72,usa,4
27.54,155.6,3487,234.2,13.0,76,japan,6
25.67,89.4,3349,235.1,7.2,77,usa,6
34.38,64.2,3051,157.9,13.3,72,europe,6
30.19,123.0,2619,117.4,9.0,75,europe,8
33.19,147.9,2570,384.8,12.1,78,usa,4
30.86,173.9,2731,226.1,11.8,75,europe,6
27.1,135.5,3271,141.4,14.3,74,usa,4
28.43,108.8,2522,273.3,11.6,70,japan,4
33.12,93.2,3219,191.3,10.6,75,usa,4
37.96,120.3,2379,179.8,11.0,80,europe,4
29.35,111.0,2898,245.0,14.5,78,usa,4
33.63,89.5,3055,96.6,13.1,81,usa,4
18.15,181.5,4223,228.2,11.2,71,usa,4
27.53,173.6,2311,353.0,11.5,70,europe,6
20.31,154.1,3736,237.3,8.9,77,europe,6
35.93,92.4,3075,169.9,12.8,72,japan,4
25.15,145.7,3206,159.4,8.5,77,europe,4
31.66,139.2,3059,167.2,13.5,81,europe,4
28.77,133.3,3222,179.7,12.3,74,japan,6
33.81,157.5,2923,169.8,16.8,77,usa,4
25.75,139.1,3727,273.3,9.8,78,europe,4
34.34,142.2,2772,70.0,11.8,71,japan,4
29.65,139.1,3566,269.0,15.6,81,usa,4
33.7,130.2,2678,169.6,14.4,72,usa,4
33.6,66.5,2970,230.2,10.6,80,japan,6
34.85,122.5,2464,109.8,12.4,78,usa,6
26.75,103.3,3228,306.3,12.0,71,europe,6
27.04,81.6,3723,299.7,12.6,79,usa,6
25.57,170.5,2961,276.8,10.6,72,usa,6
32.79,171.9,2902,78.8,11.8,77,europe,4
30.89,160.8,2443,266.3,8.8,82,usa,6
29.74,127.7,2885,232.4,12.3,82,usa,6
39.94,160.5,2204,71.6,12.9,81,japan,4
33.15,120.4,2544,198.1,11.5,76,europe,6
28.16,126.1,3113,229.2,8.8,77,usa,4
31.18,87.2,3660,244.5,14.0,73,usa,6
20.86,131.9,4405,214.2,12.7,81,europe,6
30.71,121.8,2707,223.3,10.5,76,europe,8
29.09,80.9,3718,317.9,11.4,80,japan,8
24.99,118.5,3122,298.1,9.0,74,usa,6
36.86,117.6,2924,70.0,9.9,79,usa,6
21.95,173.9,3216,174.6,10.9,72,usa,6
32.66,146.8,3031,186.8,14.5,79,usa,4
25.13,120.3,3055,70.0,10.7,70,japan,8
29.47,127.5,2796,207.5,13.3,71,usa,4
35.4,121.3,2301,299.9,10.9,74,japan,4
41.39,113.9,2228,113.1,12.5,76,japan,4
30.3,87.5,3327,226.9,11.7,79,japan,8
35.92,115.5,2862,126.7,13.7,74,usa,4
32.26,97.6,2702,146.2,10.9,70,europe,4
29.55,82.5,3004,318.2,8.9,74,japan,4
33.99,135.3,3397,156.6,9.2,75,japan,4
29.76,131.7,3090,237.0,10.9,77,usa,4
32.88,66.4,2672,70.0,9.5,78,usa,6
23.76,116.3,3613,349.0,12.8,73,europe,4
17.58,149.9,3790,248.2,11.1,77,usa,8
30.42,151.8,3247,185.4,16.7,78,usa,8
23.8,150.8,3487,246.0,8.5,80,usa,4
29.69,121.2,3621,87.2,12.4,76,japan,4
26.75,94.6,3565,294.6,9.7,80,europe,6
29.97,87.5,3307,174.1,11.0,72,usa,4
28.6,130.3,3299,183.7,12.3,79,europe,4
17.73,131.4,3260,160.7,7.3,70,usa,8
30.62,158.6,2451,153.5,12.5,71,japan,8
32.03,153.0,3350,255.6,15.8,81,japan,6
35.63,116.0,2322,220.5,11.1,76,usa,4
32.31,82.7,2603,252.1,12.5,78,usa,6
28.35,110.4,3652,199.3,14.0,77,usa,6
27.27,126.5,3420,241.1,11.7,79,europe,4
23.13,113.9,3744,166.5,10.8,73,japan,6
25.14,102.7,2864,378.4,7.4,72,europe,4
38.33,127.6,2424,74.6,13.3,70,europe,4
33.14,104.9,2880,300.9,11.8,81,usa,6
29.99,101.2,3051,309.4,10.0,72,europe,4
34.21,129.3,3039,131.8,12.3,77,usa,4
28.38,107.9,3567,378.3,10.8,75,usa,8
22.39,127.3,2819,279.6,10.9,72,europe,8
26.36,128.2,3176,277.7,13.2,75,europe,6
27.6,85.8,2506,202.2,9.3,71,usa,8
26.25,105.6,3225,182.6,14.1,72,japan,8
24.03,163.1,3002,183.2,9.2,71,japan,4
35.91,85.1,2625,231.2,10.7,80,europe,4
34.77,60.0,2882,312.1,15.8,77,japan,4
38.48,64.1,2908,214.5,14.3,82,usa,4
30.58,120.9,2865,127.1,12.2,75,usa,6
22.17,120.9,3886,266.0,10.1,72,usa,4
33.22,116.5,2951,273.7,10.9,77,japan,4
34.3,156.4,2878,252.4,12.1,82,europe,4
39.46,60.0,1951,259.6,12.1,76,usa,4
33.15,131.9,2553,178.3,11.8,70,usa,8
29.27,166.8,2868,125.7,11.9,73,usa,4
34.67,86.2,2657,130.5,11.6,82,japan,4
24.6,108.6,3691,70.0,9.1,76,europe,4
29.55,97.4,2918,219.0,11.0,82,usa,4
27.14,93.2,3644,193.3,13.8,76,usa,6
28.68,110.2,3031,164.8,9.3,70,japan,4
30.23,162.8,3019,70.0,11.6,81,usa,4
35.6,175.1,2956,100.2,10.4,79,europe,4
29.9,109.9,3002,289.7,12.2,79,usa,8
24.51,177.2,3859,146.8,11.2,82,usa,6
35.92,121.1,1840,228.8,15.0,72,europe,6
34.7,172.6,1999,88.7,13.0,81,usa,6
27.31,117.2,2728,315.1,9.4,73,usa,6
34.11,123.9,3007,188.5,13.3,82,usa,4
20.23,131.0,3345,223.2,10.5,72,usa,4
20.07,215.4,3237,386.1,10.8,77,usa,6
31.47,145.5,2808,321.3,12.6,80,usa,4
22.21,98.8,3510,175.5,11.0,71,usa,8
22.65,149.1,3515,152.5,13.8,70,usa,4
30.78,109.1,3092,174.0,10.5,81,japan,6
22.77,105.3,3481,240.8,10.8,70,japan,8
26.71,147.3,3136,191.6,10.7,77,usa,6
33.07,120.9,2719,168.4,10.9,82,usa,8
31.29,128.4,3349,317.4,14.2,77,japan,6
28.5,120.4,3055,190.9,13.3,76,europe,8
29.96,130.1,3001,384.0,15.4,75,europe,4
29.35,132.7,3736,207.3,16.5,78,usa,4
39.67,61.9,1800,342.8,9.9,77,usa,6
33.28,140.0,2291,228.6,12.1,76,usa,4
34.02,90.5,2406,277.0,9.6,71,usa,4
35.73,76.7,2818,142.0,10.4,78,japan,8
34.43,118.2,2873,131.7,10.7,79,usa,6
39.76,122.5,2246,236.8,9.9,79,usa,4
28.47,99.2,2507,279.1,9.9,70,usa,4
35.2,144.9,2570,203.2,11.7,79,japan,4
24.81,79.7,4229,97.1,9.6,79,usa,4
23.36,107.8,3901,91.2,13.7,72,europe,8
33.34,102.5,2794,85.8,10.2,81,usa,4
34.1,118.6,2818,70.0,17.6,76,europe,4
32.31,128.4,2425,208.8,11.1,76,usa,6
38.46,89.8,2046,290.0,12.1,79,europe,4
29.79,141.7,2942,198.9,9.4,76,europe,4
35.46,121.9,2501,70.0,15.4,77,europe,6
31.38,63.2,2958,184.7,14.2,74,europe,6
40.81,61.2,2200,187.0,12.6,82,europe,8
33.07,119.6,2619,367.7,9.3,82,japan,6
